step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
452,123.469,-0.4717,0.0097628,10.5593,0.1
453,123.701,-0.4813,0.00940345,10.5669,0.1
454,123.941,-0.4906,0.0104588,10.5744,0.1
455,124.191,-0.4994,0.0113885,10.582,0.1
456,124.449,-0.508,0.0124225,10.5894,0.1
457,124.718,-0.5187,0.0145918,10.5993,0.1
458,124.995,-0.5263,0.014375,10.6066,0.1
459,125.279,-0.5335,0.0152017,10.6139,0.1
460,125.571,-0.5402,0.0159418,10.6212,0.1
461,125.87,-0.5465,0.0166851,10.6284,0.1
462,126.175,-0.5523,0.0173412,10.6355,0.1
463,126.486,-0.5578,0.0180501,10.6427,0.1
464,126.799,-0.5595,0.0169799,10.645,0.1
465,127.116,-0.5627,0.0181812,10.6497,0.1
466,127.442,-0.5713,0.0214869,10.6638,0.1
467,127.784,-0.5845,0.0249391,10.6981,0.1
468,128.126,-0.5849,0.0201516,10.7003,0.1
469,128.468,-0.5853,0.0204842,10.7025,0.1
470,128.812,-0.5859,0.0209172,10.707,0.1
471,129.155,-0.5863,0.0211703,10.7138,0.1
472,129.499,-0.5862,0.0212534,10.7226,0.1
473,129.843,-0.5861,0.0215365,10.7248,0.1
474,130.186,-0.5858,0.0217194,10.727,0.1
475,130.529,-0.5856,0.0220322,10.7292,0.1
476,130.871,-0.5848,0.0220046,10.7336,0.1
477,131.211,-0.5833,0.0218662,10.7401,0.1
478,131.55,-0.5827,0.0224576,10.7422,0.1
479,131.887,-0.5805,0.0218878,10.7487,0.1
480,132.222,-0.5788,0.0222072,10.753,0.1
481,132.556,-0.5778,0.0226761,10.7551,0.1
482,132.886,-0.5746,0.0217634,10.7615,0.1
483,133.212,-0.5708,0.0214288,10.7679,0.1
484,133.535,-0.5681,0.0218829,10.7721,0.1
485,133.856,-0.5666,0.0224962,10.7742,0.1
486,134.175,-0.5651,0.0226287,10.7763,0.1
487,134.493,-0.5635,0.0227105,10.7784,0.1
488,134.807,-0.5602,0.0219806,10.7826,0.1
489,135.118,-0.5584,0.0226798,10.7847,0.1
490,135.428,-0.5566,0.0227781,10.7867,0.1
491,135.736,-0.5547,0.0228254,10.7888,0.1
492,136.042,-0.5528,0.0229118,10.7909,0.1
493,136.343,-0.5488,0.0219462,10.795,0.1
494,136.642,-0.5467,0.0227696,10.797,0.1
495,136.938,-0.5445,0.0227818,10.7991,0.1
496,137.23,-0.54,0.0216818,10.8032,0.1
497,137.519,-0.5377,0.0226007,10.8052,0.1
498,137.805,-0.5353,0.0225883,10.8072,0.1
499,138.089,-0.5329,0.0226148,10.8093,0.1
500,138.371,-0.5304,0.02259,10.8113,0.1
501,138.649,-0.5278,0.0225539,10.8133,0.1
502,138.917,-0.517,0.0184524,10.8213,0.1
